url,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/current/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/74/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/75/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/76/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/77/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/78/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/79/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/80/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/81/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/82/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/83/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/84/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/85/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/86/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/87/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/88/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/89/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/90/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/91/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/92/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/93/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/94/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/95/,1996-10-15,,,,,"missing: num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/96/,1996-10-15,,,,,"missing: num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/97/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/98/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/99/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/100/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/101/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/102/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/103/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/104/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/105/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/106/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/107/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/108/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/109/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/110/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/111/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/112/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/113/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/114/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/115/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/116/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/117/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/118/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/119/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/120/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/121/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/122/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/123/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/124/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/125/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/126/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/127/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/128/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
